"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""							https://data.oecd.org/transport/passenger-transport.htm
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""1998"",112960,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""1999"",116460,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2000"",119400,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2001"",121470,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2002"",123960,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2003"",124730,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2004"",126800,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2005"",126960,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2006"",127990,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2007"",130810,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2008"",130620,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2009"",131060,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2010"",126773,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2011"",127640,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2012"",128046,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2013"",121530,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2014"",123980,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2015"",122240,"							
"BEL,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2016"",119500,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""1998"",68461,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""1999"",71049,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2000"",73291,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2001"",74078,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2002"",74958,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2003"",76809,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2004"",76086,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2005"",77248,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2006"",79131,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2007"",81059,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2008"",81749,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2009"",81784,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2010"",74386,""B"""							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2011"",74757,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2012"",73275,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2013"",73676,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2014"",76270,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2015"",79700.9,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2016"",82512.1,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2017"",85504.8,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2018"",88921.4,"							
"CZE,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2019"",91726,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""1998"",63942,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""1999"",65010,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2000"",64194,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2001"",63386,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2002"",63473,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2003"",64016,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2004"",65452,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2005"",65517,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2006"",66191,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2007"",67815,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2008"",67791,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2009"",67236,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2010"",66612,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2011"",66612,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2012"",67039,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2013"",67551,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2014"",67026.550518915,"							
"DNK,""PASSTRANSP"",""ROAD"",""MLN_PKM"",""A"",""2015"",67544.075461366,"							
